公司名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人数,公司类型,所属行业,曾用名,注册地址,最新年报地址,网址,电话,其他电话,邮箱,其他邮箱
鲁南制药集团股份有限公司,开业,张贵民,8170.5万人民币,6070.5万人民币,1995-12-14,2021-12-07,1995-12-14  至 无固定期限,山东省,临沂市,-,913700006139918126,913700006139918126,370000400002298,61399181-2,1039,股份有限公司(中外合资、未上市),医药制造业,"鲁南制药股份有限公司	",山东省临沂市红旗路209号,山东省临沂市红旗路209号,http://www.lunan.com.cn/,0539-8336003,0539-8336003;0539-8336002;13854992570;8331258,it@lunan.cn,-
广东利元亨智能装备股份有限公司,开业,周俊雄,8800万人民币,8800万人民币,2014-11-19,2022-05-12,2014-11-19  至 无固定期限,广东省,惠州市,惠城区,914413023152526673,914413023152526673,441322000105621,31525266-7,5348,股份有限公司(上市),仪器仪表制造业,"博罗利元亨智能装备有限公司	;	广东利元亨智能装备有限公司	",广东省惠州市惠城区马安镇新鹏路4号,惠州市惠城区马安镇新鹏路4号,www.lyric-robot.com,0752-5801566,0752-5801566,ir@liyuanheng.com,-
深圳麦克韦尔科技有限公司,存续,卜志强,6663.1579万人民币,-,2009-09-21,2021-05-13,2009-09-21 至 5000-01-01,广东省,深圳市,宝安区,91440300693950518U,91440300693950518U,440306104281321,693950518,1149,有限责任公司(外商合资),计算机、通信和其他电子设备制造业,"深圳市麦克韦尔科技有限公司	;	深圳麦克韦尔股份有限公司	",深圳市宝安区西乡街道固戍社区东财工业区16号1层-6层（主楼及附楼）、15号1-5层、17号1-3层、18号南楼房1-5层,深圳市宝安区西乡街道固戍社区东财工业区16号1层-6层（主楼及附楼）、15号1-5层、17号1-3层、18号南楼房1-5层,http://www.smoorecig.com,0755-33092888,0755-33092888;0755-61195468;0755-61156948;0755-61156988;0755-84416054,zoe.zhang@smooretech.com,zoe.zhang@smoorecig.com;xia.zhou@smoorecig.com;inquiry@smoorecig.com
奥飞娱乐股份有限公司,开业,蔡东青,147869.9697万人民币,-,1997-07-31,2022-08-19,1997-07-31  至 无固定期限,广东省,汕头市,澄海区,91440500617557490G,91440500617557490G,440500000004759,61755749-0,144,股份有限公司(上市、自然人投资或控股),文教、工美、体育和娱乐用品制造业,"广东奥飞动漫文化股份有限公司	;	广东奥迪玩具实业有限公司",广东省汕头市澄海区凤翔路北侧、金鸿公路东侧奥飞动漫产业园,广东省汕头市澄海区凤翔路北侧、金鸿公路东侧奥飞动漫产业园,http://www.gdalpha.com,0754-85862278,0754-85862278,176629777@qq.com,yws@auldey.com
江苏上上电缆集团有限公司,存续,丁山华,100000万人民币,50000万人民币,1999-01-29,2022-06-18,1999-01-29 至 2041-09-30,江苏省,常州市,溧阳市,91320481703625269H,91320481703625269H,320481000011768,703625269,4373,有限责任公司(自然人投资或控股),电气机械和器材制造业,-,江苏省常州市溧阳市上上路68号,江苏省溧阳市上上路68号,www.shangshang.com,18068551363,18068551363,shangshang@shangshang.com,-
中国建材股份有限公司,存续,周育先,843477.0662万人民币,843477.0662万人民币,1985-06-24,2021-12-02,1985-06-24  至 无固定期限,北京市,北京市,海淀区,91110000100003495Y,91110000100003495Y,100000000003498,10000349-5,147,股份有限公司(上市、国有控股),非金属矿物制品业,"中国建筑材料及设备进出口公司	",北京市海淀区复兴路17号国海广场2号楼(B座),北京市海淀区复兴路17号国海广场B座,http://www.cnbmltd.com,010-68138300,010-68138300;010-88082366,cnbmltd@cnbm.com.cn,-
中国第一汽车股份有限公司,存续,徐留平,7800000万人民币,7800000万人民币,2011-06-28,2019-12-05,2011-06-28  至 无固定期限,吉林省,长春市,长春汽车经济技术开发区,91220101571145270J,91220101571145270J,220101000015288,57114527-0,13704,股份有限公司(非上市、国有控股),汽车制造业,-,吉林省长春市汽车经济技术开发区新红旗大街1号,吉林省长春市汽车经济技术开发区新红旗大街1号,http://www.faw.com.cn/,0431-85901140,0431-85901140;0431-82021268;0431-85737401;0431-85737408,service@faw.com.cn,wanglei2@faw.com.cn;dn_fls@faw.com.cn;wt_fls@faw.com.cn
宝山钢铁股份有限公司,存续,邹继新,2226841.155万人民币,1647172.4924万人民币,2000-02-03,2022-09-01,2000-02-03  至 无固定期限,上海市,上海市,宝山区,91310000631696382C,91310000631696382C,310000000074519,63169638-2,13736,股份有限公司(上市、国有控股),黑色金属冶炼和压延加工业,-,上海市宝山区富锦路885号,上海市宝山区富锦路885号,http://bg.baosteel.com,021-26647000,021-26647000;66470000;021-26649882,ir@baosteel.com,-
浙江世纪华通集团股份有限公司,存续,谢斐,745255.6968万人民币,-,2005-10-31,2021-08-11,2005-10-31 至 9999-12-31,浙江省,绍兴市,上虞区,91330000780477634Q,91330000780477634Q,330600400004721,78047763-4,7,股份有限公司（港澳台投资、上市）,汽车制造业,"浙江世纪华通车业有限公司	;	浙江世纪华通车业股份有限公司	",浙江省绍兴市上虞区曹娥街道越爱路66号5幢,浙江省绍兴市上虞区曹娥街道越爱路66号5幢,http://www.sjhuatong.com,0575-82148871,0575-82148871,sjhuatong@sjhuatong.com,-
武汉华星光电技术有限公司,存续,张锋,1591853.7749万人民币,526000万人民币,2014-05-20,2022-03-11,2014-05-20 至 2034-05-19,湖北省,武汉市,江夏区,914201003033179534,914201003033179534,420100000413178,303317953,5334,其他有限责任公司,橡胶和塑料制品业,-,武汉东湖开发区高新大道666号生物城C5栋,武汉东湖开发区高新大道666号生物城C5栋,61.183.85.102,13125030426,13125030426;15071303552;13714005466,yuzhoujie@tcl.com,csotliuxing@tcl.com
蓝思科技（长沙）有限公司,存续,周群飞,354388.763197万美元,-,2011-01-26,2021-08-17,2011-01-26 至 2061-01-25,湖南省,长沙市,-,91430100567699262E,91430100567699262E,430194000005841,567699262,39329,有限责任公司(台港澳与境内合资),计算机、通信和其他电子设备制造业,-,长沙经济技术开发区漓湘路99号,长沙经济技术开发区漓湘路99号,www.hnlens.com,0731-8693999,0731-8693999;0731-86939999;0931-86939999;13787173426,lsgf@hnlens.com,-
深圳市华星光电半导体显示技术有限公司,存续,KIM WOO SHIK,4180000万人民币,3955000万人民币,2016-06-24,2022-08-29,2016-06-24 至 2036-06-24,广东省,深圳市,光明区,91440300MA5DFAEB6U,91440300MA5DFAEB6U,440301116630108,MA5DFAEB6,3423,有限责任公司(中外合资),计算机、通信和其他电子设备制造业,-,深圳市光明区凤凰街道凤凰社区科裕路168号华星半导体显示工业园13栋研发办公楼一层,深圳市光明区凤凰街道凤凰社区科裕路168号华星半导体显示工业园13栋研发办公楼一层,-,0755-86908735,0755-86908735;0755-86908888,shinaqing@tcl.com,csot@tcl.com
大众汽车（安徽）有限公司,存续,Dr.Erwin Hermann Gabardi,735561.528万人民币,735561.528万人民币,2017-12-22,2021-11-26,2017-12-22 至 2042-12-21,安徽省,合肥市,合肥经济技术开发区,91340000MA2RCF4L9Q,91340000MA2RCF4L9Q,340000400005958,MA2RCF4L9,509,有限责任公司(中外合资),汽车制造业,"江淮大众汽车有限公司	",安徽省合肥市经济技术开发区珠江路3456号,安徽省合肥市经济技术开发区珠江路3456号,www.jac-vwg.com,0551-62954242,0551-62954242;19956591525;0551-62297525,ceo_office@volkswagen-anhui.com,president-office@jac-vwg.com;jvw@jac-vwg.com
